ID    , Name            , Latitude , Longitude , Elevation , RadarType
Z9791 , NanChang        , 28.5908  , 115.8989  , 94.9      , SA
Z9792 , JiuJiang        , 29.5347  , 115.9539  , 1374.4    , SA
Z9793 , ShangRao        , 28.4428  , 117.9769  , 118       , SA
Z9796 , JiAn            , 27.0428  , 114.9139  , 117.4     , SC
Z9797 , GanZhou         , 25.8797  , 114.9689  , 227       , SC
Z9816 , MianYang        , 31.4519  , 104.7647  , 557.8     , SC
Z9817 , NanChong        , 30.8219  , 106.0778  , 388       , SC
Z9818 , DaZhou          , 31.1700  , 107.5297  , 760       , SC
Z9831 , YiBin           , 28.8197  , 104.5778  , 517       , CD
Z9834 , XiChang         , 27.8797  , 102.4108  , 2702.7    , CD
Z9839 , LeShan          , 32.4058  , 105.8228  , 976.6     , CD
Z9851 , GuiYang         , 26.5900  , 106.7258  , 1255.7    , CD
Z9852 , ZunYi           , 27.6828  , 106.9128  , 1038.8    , CD
Z9854 , DuYun           , 26.3228  , 107.5147  , 1016.6    , CD
Z9857 , BiJie           , 27.3039  , 105.3008  , 1599.1    , CD
Z9859 , XingYi          , 25.0878  , 104.8958  , 1330.7    , CD
Z9870 , ZhaoTong        , 27.3528  , 103.7200  , 2003.7    , CC
Z9871 , KunMing         , 25.0519  , 102.5778  , 2514.7    , CC
Z9876 , WenShan         , 23.4669  , 104.2500  , 1790      , CC
Z9879 , SiMao           , 22.8250  , 101.0197  , 1923.6    , CC
Z9888 , LiJiang         , 26.7278  , 100.0419  , 3175      , CC
Z9891 , LaSa            , 29.6658  , 91.1350   , 3668.8    , CD
Z9892 , RiKaZe          , 29.2569  , 88.8928   , 3823      , CD
Z9894 , LinZhi          , 29.6328  , 94.3958   , 3440      , CD
Z9896 , NaQu            , 31.4808  , 92.0608   , 4526      , CD
Z9898 , HaiKou          , 19.9978  , 110.2469  , 127.2     , SA
Z9911 , YanAn           , 36.6089  , 109.4878  , 1161.7    , CB
Z9912 , YuLin           , 38.2719  , 109.7808  , 1189.2    , CB
Z9915 , AnKang          , 32.7247  , 109.0369  , 332       , CB
Z9916 , HanZhong        , 33.1300  , 107.4739  , 535.3     , CB
Z9917 , BaoJi           , 34.5328  , 107.2328  , 1145      , CB
Z9931 , LanZhou         , 36.0097  , 103.8508  , 2189.5    , CC
Z9934 , XiFeng          , 35.7158  , 107.6269  , 1465      , CD
Z9936 , ZhangYe         , 39.0878  , 100.2769  , 1518.3    , CC
Z9937 , JiuQuan         , 39.7639  , 98.2978   , 1747      , CC
Z9938 , TianShui        , 34.6039  , 105.6389  , 1672.9    , CD
Z9951 , YinChuan        , 38.4797  , 106.2147  , 1189.8    , CA
Z9953 , WuZHong         , 37.9592  , 106.2047  , 1125      , CA
Z9954 , GuYuan          , 35.6800  , 106.2019  , 2860.7    , CD
Z9970 , HaiBei          , 36.9519  , 100.9047  , 3130      , CD
Z9971 , XiNing          , 36.6058  , 101.7697  , 2445      , CD
Z9990 , KeLaMaYi        , 45.4700  , 84.9639   , 304       , CC
Z9991 , WuLuMuQi        , 43.9158  , 87.3928   , 702       , CC
Z9992 , KuiTun          , 44.3819  , 84.1019   , 497       , CC
Z9993 , ShiHeZi         , 44.2858  , 85.9758   , 498.5     , CC
Z9996 , KuErLe          , 41.7597  , 86.2039   , 1093.8    , CC
Z9997 , AKeSu           , 41.1628  , 80.2350   , 1126.8    , CC
Z9998 , KaShi           , 39.4597  , 76.0269   , 1353      , CC
Z9999 , YiNing          , 43.9419  , 81.3247   , 715.5     , CC
